<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
Collins Elementary School,Yes,Service Delivery Site,Seasonal,School,Covington County,MS
MOBILE HEALTH VAN,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Harris County,TX
EMPath,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
"Colquitt County Board of Health, Ellenton Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Colquitt County,GA
Midtown Health Center - Lincoln Montessori Elementary School,Yes,Service Delivery Site,Seasonal,School,Madison County,NE
PARKLAND CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
LA FAMILIA - SOUTHSIDE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Fe County,NM
San Fernando Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
"Dora Street Health Center, Suite B1",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA
MANATEE PEDIATRICS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
Goreville Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Johnson County,IL
Katy Trail Community Health-Marshall,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saline County,MO
NORTH FORK VALLEY COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Perry County,KY
Community Medical and Dental Care Inc.,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY
LifeSpring Inc.,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Clark County,IN
Eagle Point School Health Center,Yes,Service Delivery Site,Seasonal,School,Jackson County,OR
PMS - TEEN HEALTH CENTER-CAPITAL HS,Yes,Service Delivery Site,Permanent,School,Santa Fe County,NM
GVHC  - Patterson,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
Southgate Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Spokane County,WA
LIME VILLIAGE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
Clarkfield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yellow Medicine County,MN
Neighborcare Health at St. Vincent de Paul - Aurora,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
NC FARMWORKERS PROJECT,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Johnston County,NC
Congreso Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
3807 Mi Salud,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
SCHC SOUTH SITE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Onondaga County,NY
HANA COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Maui County,HI
MITCHELL SATELLITE CLINIC,Yes,Service Delivery Site,Permanent,School,Wheeler County,OR
Valley Health Center Lenzen,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
Rockwood Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
INTERIM HOUSE WEST,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
Mobile Clinic 5,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Dallas County,TX
First Choice HHC Transitional Care,Yes,Service Delivery Site,Permanent,Hospital,Houston County,GA
Marquette Elementary School,Yes,Service Delivery Site,Seasonal,School,Muskegon County,MI
Cutler Bay Middle School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
Teche Action Clinic @ Houma,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Terrebonne Parish,LA
HealthPoint Tukwila,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Glenwood Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Henrico County,VA
Plaquemines Primary Care,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Plaquemines Parish,LA
Rachel B. Noel Campus,Yes,Service Delivery Site,Seasonal,School,Denver County,CO
Tununak Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bethel Census Area,AK
Community Health Services - Napoleon High School,Yes,Service Delivery Site,Seasonal,School,Henry County,OH
KONZA PRAIRIE COMMUNITY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Geary County,KS
"JUNIPER HEALTH, Inc. DBA Lee County Family Medical Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lee County,KY
Odyssey House Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
"Gerald L. Ignace Indian Health Center, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Milwaukee County,WI
Mobile Medical Unit 3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Dallas County,TX
Sea Mar CHC - Marysville State Ave.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Snohomish County,WA
Great Mines Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Francois County,MO
CareSouth Carolina Dillon Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dillon County,SC
Union Community Health Center #3,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
NEMS Traditional Medicine Center - Suite 503,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
FamilyHealth - Center for Older Adults,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Bellaire Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Antrim County,MI
Frontera Healthcare Network - Eden Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Concho County,TX
Carolyn Street Facility,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kodiak Island Borough,AK
OLE Health - Pear Tree Lane,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Napa County,CA
BMS @ Bristol,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
Weed Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Siskiyou County,CA
Athens WIC Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Athens County,OH
Waverly Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richland County,SC
Montbello Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO
Sea Mar CHC - Everson Hannegan Rd.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Whatcom County,WA
GREAT LAKES FAMILY CARE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wexford County,MI
CORRECTIONAL FACILITY,Yes,Service Delivery Site,Permanent,Correctional Facility,Greene County,MO
Oil City Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Venango County,PA
Metro Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lee County,FL
HANCOCK STREET CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Norfolk County,MA
Juniper Health Breathitt County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Breathitt County,KY
Madras Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,OR
CommuniHealth Services Union Parish High School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Union Parish,LA
Community Health Care Systems Inc-WILKINSON,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wilkinson County,GA
Chatham Behavioral Health Crisis Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chatham County,GA
Su Clinica - Raymondville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Willacy County,TX
MOUNTAIN FAMILY HEALTH CENTERS BASALT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pitkin County,CO
5th Street Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lynchburg City,VA
STRIDE CHC- Golden High School,Yes,Service Delivery Site,Permanent,School,Jefferson County,CO
St. Augustine High School,Yes,Service Delivery Site,Seasonal,School,Orleans Parish,LA
NEXT DOOR TRANSITIONAL SHELTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
LAKE SPOKANE COMMUNITY HLTH CTR.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stevens County,WA
Downeast School - PCHC Dental,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME
"Outpatient Medical Center, Inc@East Natchitoches Elementary School",Yes,Service Delivery Site,Seasonal,School,Natchitoches Parish,LA
Christ House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
ICHS Bellevue Medical and Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Waikiki Health Youth Outreach,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Central City Community Health Center - Los Angeles Admin.,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA
Gardner Downtown Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
Marillac Clinic - Primary Care Partners,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mesa County,CO
AICS Whale Pass Clinic,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Prince of Wales-Hyder Census Area,AK
Community Health Services - Third Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sandusky County,OH
"YourTown Health Medical, Dental, and Behavioral Health Clinic",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Fulton County,GA
San Fernando Community Health Center - Mission Hills,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Barren County High Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Barren County,KY
PCSG - Bainbridge,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Decatur County,GA
Northeast Missouri Mobile Services,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Adair County,MO
Corinth Health Care Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alcorn County,MS
Mi Salud - Maryvale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
Riviera  Middle School,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL
Salud Fort Morgan Middle School,Yes,Service Delivery Site,Seasonal,School,Morgan County,CO
Horton Elementary School,Yes,Service Delivery Site,Seasonal,School,Brown County,KS
"Gateway Community Health Centers, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Pasquotank County,NC
NARA Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
Philadelphia District Health Center #4,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
EAU CLAIRE INTERNAL MEDICINE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richland County,SC
NEVHC- Newhall Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
ACHP DENTAL VAN,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Allen County,OH
ACCESS Family Care Neosho Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newton County,MO
Heritage Health Post Falls High School SBHC,Yes,Service Delivery Site,Permanent,School,Kootenai County,ID
LAKEVIEW AREA CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Phillips County,AR
Alameda High School Kids & Teen Health Center,Yes,Service Delivery Site,Permanent,School,Jefferson County,CO
HEALTHY SMILES DENTAL MOBILE VAN,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Portsmouth City,VA
Muskingum Valley Health Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Guernsey County,OH
NMPHC Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benton County,MS
Waianae Coast Comprehensive Health Center - Business Services,No,Administrative,Permanent,Unknown,Honolulu County,HI
"CARBON MEDICAL SERVICE ASSOCIATION, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Carbon County,UT
WEST SUBURBAN MEDICAL CENTER,Yes,Service Delivery Site,Permanent,Hospital,Cook County,IL
FoundCare Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL
OGEMAW CLINIC OF STERLING AHC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ogemaw County,MI
N.E.W. COMMUNITY CLINIC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Brown County,WI
Great Lakes Bay Health Centers Wolverine Saginaw,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saginaw County,MI
HELEN B. ATKINSON CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
DFD RUSSELL MEDICAL CENTER - TURNER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Androscoggin County,ME
Women&#39;s Health Center of McKinney,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collin County,TX
"219 Health Network, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN
SALUDA FAMILY PRACTICE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saluda County,SC
"AltaMed Medical & Dental Group: Anaheim, Lincoln",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
CRCHC Patterson Farm Migrant Clinic,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Rowan County,NC
Institute for Population Health Family Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI
Teche Action Clinic @ Morgan City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Mary Parish,LA
Outreach Mobile Health Services,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Patillas Municipio,PR
Riverside Middle School Health Center,Yes,Service Delivery Site,Seasonal,School,Windsor County,VT
Community Health Connection Rosa Parks Clinic,Yes,Service Delivery Site,Permanent,School,Tulsa County,OK
"Aspire Indiana Health, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madison County,IN
Wahiawa Health - Mobile,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Honolulu County,HI
Legacy Northside/Northline – North Freeway,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Kintegra Family Dentistry - Lincolnton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lincoln County,NC
14th Avenue Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cowlitz County,WA
300 Ocean Avenue,No,Administrative,Permanent,Unknown,Suffolk County,MA
Nulato Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
Family Health Center - Southbridge Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Worcester County,MA
Old Harbor Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kodiak Island Borough,AK
Clinton Middle Health Center @ East Feliciana Middle School,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,East Feliciana Parish,LA
Mobile Medical Clinic 3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Bronx County,NY
JAMES D. BERNSTEIN MEDICAL CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pitt County,NC
Heritage Health-Lakeland Junior High SBHC,Yes,Service Delivery Site,Permanent,School,Kootenai County,ID
Sierra Vista School Based Clinic,Yes,Service Delivery Site,Seasonal,School,San Miguel County,NM
Glenville Office,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Gilmer County,WV
NORTHWEST HUMAN SERVICES-HOAP AND  HOTLINE SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,OR
ASIAN HEALTH SERV DENTAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
Western Sierra Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Nevada County,CA
AMHS Westminster,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Katy Trail Community Health Cole Camp R-1,Yes,Service Delivery Site,Permanent,School,Benton County,MO
Primary Health Care - University Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Polk County,IA
Health 360,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,NE
Birch Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ingham County,MI
MississippiCare - 113,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pontotoc County,MS
Eisner Health Dermatology at Sherman Oaks,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
CVCH Manson Elementary School Health Center,Yes,Service Delivery Site,Seasonal,School,Chelan County,WA
Ampla Health Arbuckle Medical & Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Colusa County,CA
Morongo Basin Community Health Center-29,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA
BREED MIDDLE SCHOOL,Yes,Service Delivery Site,Seasonal,School,Essex County,MA
Travis County Healthcare District,No,Administrative,Permanent,All Other Clinic Types,Travis County,TX
Family HealthCare Network-Traver Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
OneWorld Indian Hill Elementary School Based Health Center,Yes,Service Delivery Site,Permanent,School,Douglas County,NE
Pegasus House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA
HOPE Aldine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Community Health Center of Clatskanie,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Columbia County,OR
Erasmus Academies School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Kings County,NY
ASHER CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wheeler County,OR
Program for All-Inclusive Care for the Elderly (PACE) Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA
Federico F. Pena Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO
"ADAMS COUNTY HEALTH CENTER, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adams County,ID
Bucyrus Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crawford County,OH
Neighborcare Health at Pacific Tower,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Hillsboro Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pocahontas County,WV
OHIO HILLS HEALTH SERVICES,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Belmont County,OH
Greenpoint Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
VALLEY HEALTH - COAL GROVE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lawrence County,OH
NORTH EAST MEDICAL SERVICES - LELAND,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
Fremont County Pediatrics and Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fremont County,WY
NARA Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
"Centro Medico Community Clinic, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
Midtown Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
Santa Cruz Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA
Union Elementary School Wellness Center,Yes,Service Delivery Site,Permanent,School,Upshur County,WV
St. Thomas Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
Morton Family & Children's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulsa County,OK
HO'OLA LAHUI-HAWAII,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kauai County,HI
Valley Health- Teays Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Putnam County,WV
Med Centro Peñuelas Satellite Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penuelas Municipio,PR
South Central Medical Center- Lindsay Campus,Yes,Service Delivery Site,Permanent,School,Garvin County,OK
Clarity Healthcare,Yes,Service Delivery Site,Seasonal,School,Ralls County,MO
Community Health Center of Miami,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ottawa County,OK
MCPN Aurora Health & Wellness Plaza,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Arapahoe County,CO
RHCHC BH Sigourney Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Keokuk County,IA
CHC - Salisbury Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wicomico County,MD
MCR Health Medical Express Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Manatee County,FL
NorthLakes - Ashland East,No,Administrative,Permanent,All Other Clinic Types,Ashland County,WI
Isom Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Letcher County,KY
Sterling Health Care - Owingsville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bath County,KY
PrimeCare Belmont Cragin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Eufaula Internal Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barbour County,AL
Care Management,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
"AltaMed Medical and Dental Group: Commerce, Goodrich",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Grove J. Tuttle Elementary School SBHC,Yes,Administrative/Service Delivery Site,Permanent,School,New Haven County,CT
Owen County Elementary School,Yes,Service Delivery Site,Seasonal,School,Owen County,KY
TLC - Princess Anne Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Somerset County,MD
FamilyCare Health Center SBHC - Capital High School,Yes,Service Delivery Site,Seasonal,School,Kanawha County,WV
Keystone Foot and Ankle Center Waynesboro,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,PA
Marin Community Clinic - Novato Administration Commercial,No,Administrative,Permanent,All Other Clinic Types,Marin County,CA
Riggs Community Health Center South Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tippecanoe County,IN
Jane Pauley Community Health Center at Shelbyville IN 44,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shelby County,IN
HATTIESBURG COMMUNITY DENTAL CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Forrest County,MS
PrimaryOne Health 2300 West Broad Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH
Alcona Health Center Petoskey Middle  School,Yes,Service Delivery Site,Seasonal,School,Emmet County,MI
Ridgeway Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Henry County,VA
WHATLEY HEALTH SERVICES @ EUTAW,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Greene County,AL
CentroMed SA Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX
"Shortgrass Community Health Center, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Harmon County,OK
Cairo Diagnostic Center Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alexander County,IL
AAA Comprehensive Healthcare,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Amoskeag Health: ProHealth,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,NH
Rocking Horse Center - Madison County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madison County,OH
School Based Dental Mobile Unit,Yes,Service Delivery Site,Mobile Van,School,Walker County,GA
WellSpace Health - Folsom Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
Women&#39;s Health and Pediatric &amp; Adolescent Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,York County,SC
La Casa SB Dental Program Freshman Campus,Yes,Service Delivery Site,Seasonal,School,Curry County,NM
Burchell High School,Yes,Service Delivery Site,Seasonal,School,Matanuska-Susitna Borough,AK
Arcadia Middle School,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Trempealeau County,WI
School Based Health Center at Bernalillo High School,Yes,Service Delivery Site,Seasonal,School,Sandoval County,NM
Chicago Heights Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Vinal Technical High School SBHC,Yes,Service Delivery Site,Permanent,School,Middlesex County,CT
"Mantachie Rural Health Care, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Itawamba County,MS
Compass Health Bates County Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bates County,MO
Yehowa Medical Services - Administration,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA
Park Avenue Primary Health Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
KVHC Houlton Southside School,Yes,Service Delivery Site,Permanent,School,Aroostook County,ME
"Women, Infants, and Children (WIC)",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dorchester County,MD
Harrisonburg Community Health Center Administrative Office,No,Administrative,Permanent,All Other Clinic Types,Harrisonburg City,VA
Morongo Basin Community Health Center-DH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA
NOELA Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
Melrose Houses Child Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
Lynn Community Health Center Satellite,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA
Summit Community Care Clinic - Administrative Office,No,Administrative,Permanent,Unknown,Summit County,CO
Sixteenth Street Community Health Centers-Chavez,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Milwaukee County,WI
LAS CLINICAS DEL NORTE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rio Arriba County,NM
Max Robinson Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
Lakewood Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Hardin County,KY
Healthcare for the Homeless,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newport News City,VA
DEVINE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Medina County,TX
Moss Hill Elementary,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
Great Lakes Bay Health Centers Warren Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saginaw County,MI
"THIRD STREET COMMUNITY CLINIC, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Richland County,OH
AGAPE/ Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Duval County,FL
TFHC #21 - Dale Mabry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,FL
Sparta Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI
Salud Green Acres Elementary School,Yes,Service Delivery Site,Seasonal,School,Morgan County,CO
Cass County Health Department - Cass County Health Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Cass County,IL
CHP Berkshire Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Berkshire County,MA
Keystone Crisis Intervention Program,Yes,Service Delivery Site,Permanent,Hospital,Franklin County,PA
OHANA HOUSE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Appalachian District Health Center - Top Dog School Based Health Center,Yes,Service Delivery Site,Seasonal,School,Ashe County,NC
My Community Health Center - Canton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stark County,OH
Mobile Coach,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Franklin County,OH
